child_name,month,ts,dimension,qid_parent,qid_teen,qid_canon,qtext_parent,qtext_teen,type_parent,type_teen,value_parent,value_teen,label_parent,label_teen,free_parent,free_teen,qtext_parent_norm,qtext_teen_norm
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Peer Relationship Problems,P_SDQ_14,SDQ_14,sdq_14,Other people in his/her age generally likes him/her.,Other people my age generally like me.,multiple_choice,free_text,2.0,,Somewhat true,,,"I'm feeling quite neutral about this, but I'm open to discussing it.",other people in his her age generally likes him her,other people my age generally like me
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Approach-Avoidance Style,P_PSI_AAS1,PSI_AAS1,psi_aas1,he/she tries to avoid dealing with problems whenever possible.,I try to avoid dealing with problems whenever possible.,free_text,multiple_choice,,5.0,,Strongly agree,"I'm feeling quite neutral about this, but I'm open to discussing it.",,he she tries to avoid dealing with problems whenever possible,i try to avoid dealing with problems whenever possible
Alex Chen,2025-01,2025-01-15 11:27:57.116655,BAS Fun Seeking,P_BAS_11,BAS_11,bas_11,"When he/she sees an opportunity for something he/she likes, he/she gets excited right away.","When I see an opportunity for something I like, I get excited right away.",multiple_choice,multiple_choice,3.0,4.0,Somewhat false for me,Very false for me,,,when he she sees an opportunity for something he she likes he she gets excited right away,when i see an opportunity for something i like i get excited right away
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Compromising,P_CO_1,CO_1,co_1,he/she tries to find a middle course to resolve an impasse.,I try to find a middle course to resolve an impasse.,multiple_choice,multiple_choice,3.0,3.0,Neutral,Neutral,,,he she tries to find a middle course to resolve an impasse,i try to find a middle course to resolve an impasse
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Compromising,P_CO_5,CO_5,co_5,he/she tries to find a fair combination of gains and losses for all parties.,I try to find a fair combination of gains and losses for all parties.,multiple_choice,multiple_choice,3.0,4.0,Neutral,Agree,,,he she tries to find a fair combination of gains and losses for all parties,i try to find a fair combination of gains and losses for all parties
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Cognitive Skills,P_PS_1_WCST,PS_1_WCST,ps_1_wcst,he/she performs well in problem solving.,I perform well in problem solving.,multiple_choice,free_text,3.0,,Neutral,,,"I'm maybe a bit anxious, but I'm also trying to be positive.",he she performs well in problem solving,i perform well in problem solving
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Performance-Avoidance,P_AGQ_8,AGQ_8,agq_8,he/she just wants to avoid doing poorly compared to others.,I just want to avoid doing poorly compared to others.,free_text,multiple_choice,,2.0,,Disagree,"I'm feeling quite neutral about this, but I'm open to discussing it.",,he she just wants to avoid doing poorly compared to others,i just want to avoid doing poorly compared to others
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Approach-Avoidance Style,P_PSI_AAS4,PSI_AAS4,psi_aas4,he/she prefers to think about problems rather than act on them immediately.,I prefer to think about problems rather than act on them immediately.,multiple_choice,multiple_choice,1.0,2.0,Strongly disagree,Disagree,,,he she prefers to think about problems rather than act on them immediately,i prefer to think about problems rather than act on them immediately
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Empathy,P_IRI_PT5,IRI_PT5,iri_pt5,he/she believes that there are two sides to every question and tries to look at them both.,I believe that there are two sides to every question and try to look at them both.,free_text,multiple_choice,,3.0,,Describes me well,"I'm feeling quite neutral about this, but I'm open to discussing it.",,he she believes that there are two sides to every question and tries to look at them both,i believe that there are two sides to every question and try to look at them both
Alex Chen,2025-01,2025-01-15 11:27:57.116655,Empathy,P_IRI_PT2,IRI_PT2,iri_pt2,he/she tries to look at everybody's side of a disagreement before he/she makes a decision.,I try to look at everybody's side of a disagreement before I make a decision.,multiple_choice,multiple_choice,4.0,4.0,Describes him/her very well,Describes me very well,,,he she tries to look at everybody s side of a disagreement before he she makes a decision,i try to look at everybody s side of a disagreement before i make a decision
